code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,37435_date,37435_score,37436_date,37436_score,37437_date,37437_score,37438_date,37438_score,37439_date,37439_score,37440_date,37440_score,37441_date,37441_score,37442_date,37442_score,37443_date,37443_score,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucontent,clicks_quiz,clicks_resource,clicks_subpage
GGG,2014J,31205,M,East Midlands Region,Lower Than A Level,20-30%,35-55,0,30,Y,Fail,-31.0,NA,46.0,80.0,121.0,82.0,NA,NA,108.0,100.0,129.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,127.0,2.0,120.0,62.0,23.0,27.0,20.0
GGG,2014J,52702,F,Scotland,Lower Than A Level,20-30%,35-55,0,30,N,Pass,-12.0,NA,54.0,70.0,125.0,70.0,176.0,75.0,151.0,100.0,151.0,80.0,228.0,100.0,228.0,100.0,NA,NA,228.0,100.0,16.0,0.0,44.0,154.0,83.0,12.0,14.0
GGG,2014J,60162,F,London Region,A Level or Equivalent,30-40%,35-55,0,30,N,Pass,4.0,NA,63.0,63.0,124.0,66.0,180.0,59.0,115.0,80.0,181.0,60.0,220.0,80.0,220.0,100.0,220.0,60.0,220.0,100.0,20.0,1.0,156.0,370.0,120.0,36.0,61.0
GGG,2014J,63949,F,Ireland,Lower Than A Level,30-40%,0-35,0,30,N,Pass,-99.0,NA,45.0,69.0,113.0,77.0,171.0,85.0,76.0,100.0,129.0,100.0,149.0,80.0,200.0,100.0,199.0,80.0,NA,NA,63.0,0.0,73.0,180.0,69.0,15.0,32.0
GGG,2014J,91041,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,30,N,Withdrawn,-3.0,95.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GGG,2014J,92103,F,West Midlands Region,A Level or Equivalent,10-20,0-35,0,30,N,Withdrawn,-60.0,75.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0,0.0,32.0,45.0,0.0,17.0,8.0
GGG,2014J,121182,M,North Western Region,A Level or Equivalent,20-30%,0-35,0,30,N,Distinction,-108.0,NA,67.0,68.0,123.0,70.0,173.0,73.0,228.0,80.0,222.0,100.0,222.0,100.0,NA,NA,228.0,80.0,NA,NA,0.0,0.0,18.0,26.0,44.0,1.0,3.0
GGG,2014J,125407,F,East Anglian Region,Lower Than A Level,80-90%,0-35,0,30,Y,Pass,-52.0,NA,60.0,48.0,124.0,52.0,173.0,60.0,174.0,100.0,174.0,60.0,216.0,80.0,NA,NA,NA,NA,216.0,100.0,5.0,0.0,36.0,37.0,52.0,6.0,24.0
GGG,2014J,131314,M,South Region,A Level or Equivalent,20-30%,35-55,0,30,N,Pass,-123.0,NA,NA,NA,128.0,50.0,181.0,60.0,191.0,80.0,191.0,40.0,233.0,0.0,212.0,80.0,212.0,100.0,NA,NA,0.0,0.0,49.0,142.0,96.0,1.0,4.0
GGG,2014J,132932,F,South West Region,Lower Than A Level,60-70%,35-55,0,30,Y,Pass,-4.0,NA,59.0,55.0,138.0,67.0,191.0,62.0,230.0,20.0,230.0,60.0,230.0,80.0,230.0,100.0,NA,NA,NA,NA,0.0,0.0,59.0,226.0,69.0,79.0,14.0
