code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,30719_date,30719_score,30720_date,30720_score,30721_date,30721_score,30722_date,30722_score,clicks_dualpane,clicks_forumng,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_page,clicks_quiz,clicks_resource,clicks_subpage,clicks_url
EEE,2014J,28770,M,Scotland,Lower Than A Level,20-30%,0-35,0,30,N,Fail,-31.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2014J,46048,M,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,30,N,Withdrawn,-28.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0
EEE,2014J,47061,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass,-16.0,NA,32.0,73.0,69.0,91.0,130.0,60.0,169.0,58.0,0.0,2.0,36.0,0.0,277.0,13.0,0.0,1.0,4.0,5.0,9.0
EEE,2014J,60809,M,South East Region,Lower Than A Level,90-100%,0-35,0,120,N,Pass,-24.0,NA,31.0,91.0,68.0,78.0,131.0,86.0,166.0,94.0,0.0,280.0,496.0,3.0,762.0,535.0,2.0,188.0,32.0,56.0,68.0
EEE,2014J,62034,M,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-103.0,NA,31.0,91.0,67.0,84.0,131.0,63.0,NA,NA,0.0,628.0,387.0,8.0,381.0,201.0,0.0,96.0,17.0,95.0,76.0
EEE,2014J,67539,M,Ireland,Lower Than A Level,10-20,0-35,0,60,N,Pass,-46.0,NA,33.0,75.0,68.0,78.0,129.0,52.0,166.0,59.0,0.0,157.0,236.0,5.0,689.0,109.0,0.0,177.0,5.0,40.0,20.0
EEE,2014J,67685,M,South Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,-143.0,NA,24.0,75.0,68.0,84.0,128.0,78.0,166.0,87.0,0.0,166.0,312.0,5.0,1173.0,274.0,0.0,153.0,128.0,30.0,63.0
EEE,2014J,70827,M,East Midlands Region,HE Qualification,30-40%,0-35,0,210,N,Withdrawn,-29.0,108.0,38.0,62.0,NA,NA,NA,NA,NA,NA,0.0,6.0,38.0,0.0,151.0,0.0,0.0,50.0,8.0,6.0,10.0
EEE,2014J,76579,F,Yorkshire Region,HE Qualification,10-20,0-35,1,120,N,Pass,-103.0,NA,-1.0,69.0,NA,NA,151.0,48.0,180.0,57.0,0.0,26.0,180.0,16.0,453.0,599.0,0.0,100.0,19.0,33.0,32.0
EEE,2014J,80358,M,Scotland,Lower Than A Level,60-70%,0-35,0,120,N,Pass,-17.0,NA,35.0,71.0,NA,NA,152.0,46.0,166.0,70.0,0.0,277.0,257.0,4.0,497.0,211.0,0.0,92.0,20.0,120.0,24.0
EEE,2014J,89545,M,South Region,HE Qualification,90-100%,0-35,0,30,N,Pass,-74.0,NA,33.0,92.0,68.0,86.0,131.0,81.0,165.0,77.0,3.0,36.0,76.0,2.0,190.0,105.0,2.0,86.0,29.0,53.0,13.0
EEE,2014J,108281,M,Scotland,HE Qualification,10-20,35-55,0,30,N,Pass,-57.0,NA,30.0,97.0,66.0,91.0,128.0,83.0,163.0,91.0,0.0,844.0,584.0,3.0,1544.0,447.0,0.0,243.0,20.0,23.0,89.0
EEE,2014J,108497,M,South West Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,-50.0,NA,32.0,97.0,66.0,77.0,130.0,81.0,165.0,52.0,0.0,1022.0,387.0,0.0,539.0,69.0,1.0,83.0,38.0,42.0,27.0
EEE,2014J,110789,F,East Midlands Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,-78.0,NA,33.0,78.0,68.0,73.0,138.0,40.0,171.0,34.0,1.0,424.0,167.0,1.0,260.0,71.0,0.0,90.0,33.0,23.0,14.0
EEE,2014J,121163,M,London Region,Lower Than A Level,10-20,0-35,0,30,N,Withdrawn,-22.0,145.0,26.0,90.0,NA,NA,NA,NA,NA,NA,0.0,33.0,45.0,0.0,210.0,2.0,0.0,124.0,2.0,23.0,10.0
EEE,2014J,124304,M,North Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-60.0,NA,29.0,94.0,66.0,92.0,130.0,87.0,164.0,87.0,0.0,147.0,142.0,2.0,844.0,611.0,0.0,190.0,7.0,22.0,30.0
EEE,2014J,124711,M,London Region,Lower Than A Level,10-20,55<=,0,60,N,Withdrawn,-155.0,54.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,23.0,0.0,18.0,0.0,0.0,0.0,24.0,2.0,2.0
